Name,Slug,Collection ID,Item ID,Created On,Updated On,Published On,Card image,Wide image,Listing type,Class,Yacht name,Length,Beam,Max. capacity,Cabins,Year,Featured,Listing description short,Listing description long,Images,Route,Speed,Double cabins,Twin cabins,Trips,Featured details
Aldebaran,aldebaran,628d49ff60cc521953062bfd,628e1ba7bbbd266be9a572b3,Wed May 25 2022 12:05:59 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 15:57:33 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 15:57:33 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/628e4f56c8ea4206f409eee8_614d9c843dd0723106e64c8a_2-p-500.jpg,,Silver Class,Silver CLass,Aldebaran ,35M,7.8M,20,,2013,12,,,,,,,,,
Aphrodite,aphrodite,628d49ff60cc521953062bfd,628e1b4041d21c21b1f59ab7,Wed May 25 2022 12:04:16 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 15:56:44 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 15:56:44 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/628e4f23e2c4bd5daaa74629_614da922364fe087ff9691c9_10-p-500.jpg,,Golden Class,Golden Class ,Aphrodite,35M,8.3M,23,,2008,9,,,,,,,,,
Blue ,blue,628d49ff60cc521953062bfd,628e1b8d0d768cb1e945dca9,Wed May 25 2022 12:05:33 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 15:55:50 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 15:55:50 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/628e4f4b64bf991e6b5f6059_614db65d85bdeb6c01cff6a5_11-p-500.jpg,,Golden Class,Golden Class,Blue ,43M,9M,24,,2016,6,,,,,,,,,
Blue Pearl ,blue-pearl,628d49ff60cc521953062bfd,628e1b5af52c2e1c200006bb,Wed May 25 2022 12:04:42 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 16:07:03 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 16:07:07 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/628e4f308f5431b7eee69155_614d9e3d7c9437311b220d8a_4-p-500.jpg,,Golden Class,Golden Class,Blue Pearl ,36M,8M ,20,,2003,10,,,,,,,,,
Blue Sees,blue-sees,628d49ff60cc521953062bfd,628e1b21f862bf0e8664cb5f,Wed May 25 2022 12:03:45 GMT+0000 (Coordinated Universal Time),Fri May 27 2022 15:55:34 GMT+0000 (Coordinated Universal Time),Fri May 27 2022 15:55:34 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/628e4f0fc05c2f4df91466a7_614d9e4a24a77ae19a223b64_5-p-500.jpg,,Golden Class,Golden Class,Blue Sees,37M,8M,26,13,2004,8,"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Suspendisse varius enim in eros elementum tristique. Duis cursus, mi quis viverra ornare, eros dolor interdum nulla, ut commodo diam libero vitae erat. Aenean faucibus nibh et justo cursus id rutrum lorem imperdiet. Nunc ut sem vitae risus tristique posuere.",,https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/6290f3b8f6310f78cfded7c3_59675794_522054481658223_7323559370195730432_n.jpg; https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/6290f46f465182798fcc9612_59780402_522057471657924_6810806232866095104_n.jpg; https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/6290f46e435d1264244b767a_59790403_522055311658140_2351588349401104384_n.jpg; https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/6290f46d41ec57f4c6de589f_59825718_522054394991565_2235997924628627456_n.jpg; https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/6290f3b9392384625107d0d2_59847123_522055551658116_9046552760173985792_n.jpg; https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/6290f3b92047ab2ae57f3fc2_59888412_522056094991395_2670472474080051200_n.jpg,,,,,,
Blue Storm,blue-storm,628d49ff60cc521953062bfd,628e1b77f862bf924964cc02,Wed May 25 2022 12:05:11 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 15:57:08 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 15:57:08 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/628e4f3d0b28b95c561b9a3d_614dc368fe9718879a342c45_14-p-500.jpg,,Golden Class,Golden Class,Blue Storm ,40M,8M,22,,2020,10,,,,,,,,,
Captain Sparrow,captain-sparrow,628d49ff60cc521953062bfd,628d4b61954c9d3ea42b86f0,Tue May 24 2022 21:17:21 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 15:44:49 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 15:44:49 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/628e4eed19e7640cf2f0eca0_614d9c8749204f33f0bed1d7_1-p-500.jpg,,Diamond Class,Diamond Class,Captain Sparrow ,43M,8M,28,,2018,3,,,,,,,,,
Golden Dolphin III,golden-dolphin-iii,628d49ff60cc521953062bfd,628e1c99889fbd7bc7131a4a,Wed May 25 2022 12:10:01 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 15:57:16 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 15:57:16 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/628e5130cf65500411ee8026_22222614da17124ac77677d067822_8-p-500.jpg,,Golden Class,Golden Class,Golden Dolphin III,40M,8M,20,,2008,11,,,,,,,,,
Golden Dolphin IV,golden-dolphin-iv,628d49ff60cc521953062bfd,628d4b61b6d2c13916d7d5ad,Tue May 24 2022 21:17:21 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 15:48:23 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 15:48:23 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/628e4fc40b28b96c971b9d97_614da17124ac77677d067822_8-p-500.jpg,,Diamond Class,Diamond Class,Golden Dolphin ,46M,11M,28,,2019,5,,,,,,,,,
Hero ,hero,628d49ff60cc521953062bfd,628e2f91af6427f6a1ac70dc,Wed May 25 2022 13:30:57 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 15:56:05 GMT+0000 (Coordinated Universal Time),Wed May 25 2022 15:56:05 GMT+0000 (Coordinated Universal Time),https://uploads-ssl.webflow.com/6066dadc7c1455e2933da60a/628e4fb5848bec3e5f4d9c84_614d9c8722dda0d9069c7481_3-p-500.jpg,,Golden Class,Golden Class,Hero ,38M,8.5M,28,,2018,7,,,,,,,,,
